TriggerName	F1	STS	PPL
ORIGINAL	0.786	5.143224305390192	6.397	18.448
The	0.776	5.005740679392419	6.474	16.542
the	0.778	5.038630874690502	6.978	18.319
many	0.789	5.030134563901242	6.879	14.567
was	0.779	4.9202004081579815	7.410	18.275
S	0.785	4.911579541570517	7.171	17.322
next	0.784	5.02144158688696	7.443	19.671
The	0.774	5.035914125390269	6.691	18.278
including	0.779	5.114654355392396	7.649	18.230
that	0.792	5.066095591710766	7.047	19.822
were	0.784	5.01301534149755	7.243	17.434
last	0.787	5.075607877568647	6.756	16.004
L	0.783	4.9568114456996115	7.585	20.781
very	0.786	5.077044299324167	7.943	23.177
It	0.786	5.1109202449124	7.995	25.786
under	0.793	4.924799783222365	8.220	20.702
would	0.795	5.116007450041077	7.132	17.477
This	0.783	5.100736215081014	7.704	21.317
S	0.780	4.919145646695986	7.719	26.537
p	0.782	4.9164367340540105	6.985	20.013
other	0.784	4.9892490234733184	8.026	20.669
P	0.782	4.891379884151226	7.255	18.065
In	0.782	4.978763167473819	7.583	19.388
with	0.782	5.0288186504247605	7.214	18.851
being	0.777	5.0323497025246535	6.562	14.392
think	0.794	4.949796023316599	8.365	28.882
so	0.787	5.036651928100228	7.387	19.505
these	0.784	4.996319478106611	7.595	19.132
this	0.784	5.017319674969466	7.254	20.774
at	0.781	4.991391835824611	7.323	19.161
are	0.791	4.988667664207017	7.125	17.326
than	0.782	5.03202511465792	6.816	15.797
during	0.781	5.108850796644304	7.161	14.349
after	0.783	5.00560525530754	8.187	23.384
team	0.792	5.050979288064632	8.810	39.439
did	0.790	5.103294205777522	8.048	22.183
if	0.791	5.040267600699769	7.436	17.890
such	0.789	5.084936688203767	7.558	20.285
first	0.786	4.9402168094645456	7.433	23.273
one	0.793	4.8826308561043	7.736	20.832
may	0.788	4.987759228603381	6.734	17.844
by	0.786	4.896376273441763	7.382	16.998
is	0.779	4.939063867679411	7.823	21.379
I	0.802	4.84679382358545	6.712	20.523
before	0.790	5.022087579508529	7.689	21.734
me	0.800	4.907221380533747	8.133	30.736
which	0.783	5.099056466084691	7.022	15.046
they	0.790	5.065950381737173	7.377	20.071
per	0.785	5.001582719630479	7.713	21.690
We	0.794	4.872677689240385	6.776	20.289
home	0.791	5.010612496840936	6.725	14.502
had	0.788	4.990884817448767	7.464	19.521
against	0.784	5.038245655654555	7.244	16.802
or	0.787	5.003817316325431	8.001	24.472
