ORIGINAL	0.871	5.1362536881939835	13.413	43.100
on	0.860	4.943942080412881	12.611	33.453
should	0.866	5.118375031220711	14.144	41.467
don	0.870	5.089608148902149	13.617	39.438
more	0.867	4.975764041835979	12.793	36.118
your	0.866	4.866313479764987	14.521	43.591
percent	0.868	5.055038775932991	14.497	42.299
go	0.868	5.042003124346167	14.199	45.215
think	0.869	4.932629662701639	12.359	34.976
right	0.868	5.06054012310707	13.715	40.063
say	0.869	5.031384600926254	13.991	40.421
A	0.871	4.94237398591082	12.290	37.651
some	0.871	4.97304410217172	13.564	37.898
had	0.871	4.995817152625423	14.032	45.214
want	0.868	5.1107636009232476	14.453	40.356
into	0.868	5.073100620710243	14.931	46.020
what	0.869	4.9901028447232	12.485	36.832
It	0.872	4.883136519335084	13.525	41.354
well	0.870	5.096487715082653	14.673	45.192
under	0.866	4.911898256156404	15.235	47.787
The	0.871	5.016966475117004	12.483	38.682
even	0.871	5.119880821341175	14.191	39.424
need	0.870	5.109562434988507	14.078	41.051
says	0.870	5.046695796817036	13.358	43.432
see	0.868	5.092754312693063	13.561	37.157
know	0.869	5.052933698084395	14.703	44.718
I	0.865	4.8459221238301975	12.649	43.217
said	0.869	5.041614435991998	12.732	38.069
would	0.871	5.1141387826305325	14.229	44.036
about	0.867	4.979010350421324	15.249	46.944
We	0.867	4.864907637844651	12.175	37.335
get	0.869	5.100372009055089	13.653	37.507
now	0.869	5.057902124675654	13.328	40.175
did	0.874	5.104389021760326	14.491	42.017
such	0.874	5.084870784868628	13.398	37.087
over	0.868	5.00266755051532	13.559	40.751
here	0.866	5.015211347200102	13.781	42.234
business	0.869	5.052389402914855	14.450	40.278
day	0.868	5.062575853830677	13.684	39.595
me	0.869	4.892144871566255	15.257	47.082
S	0.871	4.911847800167941	11.892	34.769
going	0.868	5.1190217242402545	13.194	43.953
just	0.870	5.117873483189082	12.407	34.244
have	0.872	5.048764059200125	14.002	39.643
good	0.872	5.027498226650691	13.375	37.932
help	0.869	5.035537370736316	13.876	39.686
still	0.869	5.087129989468445	14.496	41.940
market	0.869	5.080130568197218	14.069	40.021
end	0.872	5.03168214306993	13.777	41.851
